FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202201,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,23.17,38.26,-32.64,-47.73,9591.23,0.65,0.32,-1.44,-1.44,21.89,30.73,6.82,5.51,4.69,0.84,1.19,74,2328.95,3183.72,1534.49,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202202,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,13.24,34.85,-20.16,-41.77,9494.51,0.65,0.32,-0.62,-2.05,20.14,29.35,6.31,5.28,4.72,0.84,1.12,73.3,2323.88,3193.9,1528.98,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202203,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,16.7,38.48,-26.55,-48.33,9459.06,0.65,0.32,0.22,-1.84,19.56,29.15,6.14,5.25,4.72,0.84,1.11,73.1,2325.46,3189.52,1557.65,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202204,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,0,27.39,24.07,-3.32,9397.36,0.65,0.32,-0.38,-2.21,17.88,27.47,5.64,4.97,4.73,0.84,1.05,72.8,2278.13,3021.68,1454.73,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202205,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,26.83,31.99,-8.42,-13.58,9224.01,0.65,0.32,-1.86,-4.03,16.35,24.05,5.18,4.4,4.83,0.96,0.86,72.1,2212.41,3075.05,1488.69,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202206,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,19.08,38.34,14.55,-4.71,9184.02,0.65,0.32,-0.26,-4.28,14.39,24.1,4.58,4.41,4.83,0.96,0.84,71.6,2193.98,3092.09,1425.69,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202207,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,-2.89,38.78,17.58,-24.09,9304.71,0.65,0.32,1.78,-2.57,15.84,24.97,5.02,4.56,4.86,0.96,0.92,71.9,2234.78,3086.24,1430.72,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202208,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,21.4,37.69,-32.29,-48.58,9155.12,0.65,0.32,-1.14,-3.68,14.41,23.11,4.59,4.25,4.91,1.08,0.8,72.8,2185.46,2905.57,1413.42,512267592,11/12/2022 00:00:00
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202209,4/1/1979 00:00:00,כלל האוכלוסיה,"אג""ח",משולב מניות,21.55,26.73,-20.8,-25.98,8914.6,0.65,0.32,-2.32,-5.92,11.1,19.84,3.57,3.69,5.05,1.08,0.58,72,2087.34,2900.09,1390.99,512267592,11/12/2022 00:00:00
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202201,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,67.34,14.09,247.94,301.19,9599.8,0.49,0.12,-2.01,-2.01,30.76,41.73,9.35,7.22,6.49,1.2,1.18,80,4274.71,3537.49,1974.64,512065202,11/12/2022 00:00:00
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202202,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,62.99,13.85,291,340.14,9889.5,0.49,0.12,-0.48,-2.48,28.7,40.29,8.77,7.01,6.5,1.2,1.13,80.3,4422.33,3635.1,2039.63,512065202,11/12/2022 00:00:00
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202203,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,57.85,20.96,289.07,325.96,10296.57,0.49,0.12,0.82,-1.68,29.07,41.24,8.88,7.15,6.5,1.2,1.16,80.3,4740.57,3980.24,2171.18,512065202,11/12/2022 00:00:00
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב גמל ופנסיה בע""מ",202204,1/1/1970 00:00:00,כלל האוכלוסיה,מדרגות,50-60,37.64,12.99,165.58,190.23,10341.89,0.49,0.12,-1.36,-3.02,25.29,37.81,7.8,6.62,6.56,1.2,1.04,79.9,4711.37,3921.66,1991.78,512065202,11/12/2022 00:00:00
